Neighbourhood,Vacancy Rate (%),Availability Rate (%),Average Rent ($),Median Rent ($),% Change,Units,Year
West End/Stanley Park,0.6,0.7,1418,1350,5.3,3874,2016
English Bay,0.8,0.8,1473,1438,10.7,6770,2016
Downtown,0.5,2.3,1476,1395,6.4,10664,2016
South Granville/Oak,0.7,1.4,1359,1280,7.6,7805,2016
Kitsilano/Point Grey,1.2,1.6,1392,1328,8.7,7215,2016
Westside/Kerrisdale,2.0,2.4,1454,1385,4.1,3084,2016
Marpole,0.6,0.8,985,933,6.3,4000,2016
Mount Pleasant/Renfrew Heights,0.8,0.8,1148,1075,7.5,6443,2016
East Hastings,0.8,1.1,1061,1000,4.3,5313,2016
Southeast Vancouver,0.8,1.4,1239,1173,3.6,2175,2016
University Endowment Lands,0.0,0.2,1766,1651,2.5,1403,2016
Central Park/Metrotown,0.8,1.0,1125,1000,7.4,6045,2016
Southeast Burnaby,0.7,0.9,970,934,6.2,2361,2016
North Burnaby,1.0,1.9,1193,1115,6.4,4135,2016
New Westminster,0.4,0.6,993,938,5.1,8110,2016
North Vancouver CY,0.3,1.1,1249,1200,6.7,6047,2016
North Vancouver DM,0.3,0.4,1517,1375,3.2,1580,2016
West Vancouver,0.2,0.6,1746,1581,5.3,2341,2016
Richmond,0.9,1.1,1304,1200,6.1,3471,2016
Delta,0.0,0.3,963,895,5.9,1727,2016
Surrey,0.4,0.7,960,925,7.4,5892,2016
White Rock,0.1,0.1,943,900,2.2,1377,2016
Langley City and Langley DM,1.0,1.3,1046,981,8.8,2409,2016
Tri-Cities,1.6,2.1,1042,975,3.7,5086,2016
Maple Ridge/Pitt Meadows,0.4,0.7,864,863,0.0,1646,2016
Vancouver,0.7,1.2,1236,1150,6.4,110973,2016
West End/Stanley Park,1.0,1.2,1436,1375,4.9,3870,2017
English Bay,1.3,1.5,1467,1450,2.4,6789,2017
Downtown,1.3,2.0,1549,1478,5.6,10622,2017
South Granville/Oak,0.7,1.4,1423,1350,4.7,7872,2017
Kitsilano/Point Grey,0.7,1.3,1447,1400,3.7,7230,2017
Westside/Kerrisdale,1.5,1.9,1658,1488,7.0,3094,2017
Marpole,0.8,1.1,1009,950,3.5,3976,2017
Mount Pleasant/Renfrew Heights,0.7,1.4,1261,1195,6.3,6521,2017
East Hastings,0.4,1.3,1182,1072,7.2,5409,2017
Southeast Vancouver,0.7,1.6,1228,1192,3.5,2179,2017
University Endowment Lands,0.2,0.4,1891,1760,7.1,1396,2017
Central Park/Metrotown,0.7,1.5,1186,1100,6.5,5825,2017
Southeast Burnaby,0.5,0.8,1010,1000,4.1,2350,2017
North Burnaby,0.4,1.4,1292,1200,9.6,4128,2017
New Westminster,1.1,1.5,1079,1005,8.9,8325,2017
North Vancouver CY,1.3,2.1,1337,1260,5.2,6191,2017
North Vancouver DM,2.6,3.3,1650,1510,7.4,1520,2017
West Vancouver,0.4,0.5,1833,1650,4.6,2342,2017
Richmond,0.6,1.1,1326,1265,1.5,3766,2017
Delta,1.2,1.7,997,925,3.5,1726,2017
Surrey,0.5,0.9,1025,993,6.9,5892,2017
White Rock,0.6,1.1,1026,975,7.8,1388,2017
Langley City and Langley DM,1.4,1.9,1194,1100,4.3,2677,2017
Tri-Cities,1.2,1.8,1135,1100,10.5,4836,2017
Maple Ridge/Pitt Meadows,0.5,0.9,920,875,7.6,1627,2017
Vancouver,0.9,1.5,1308,1213,5.8,111551,2017
